job_title,company_name,location,salary,work_hour
Data Engineer III,Leaf Home,"Hudson, OH 44236",Estimated $86.3K - $109K a year,unknown
Data Engineer,Uline,"Pleasant Prairie, WI 53158",Estimated $96.6K - $122K a year,full-time
Data Engineer,Market Resource Partners,"Remote in Philadelphia, PA 19103",Estimated $108K - $136K a year,full-time
Data Engineer,"CGI Group, Inc.","Charlotte, NC 28277 (Whiteoak area)",Estimated $109K - $138K a year,full-time
Cyber Security Data Integration Engineer/Developer (Secret Clearance),ALTA IT Services,"Dulles, VA",Estimated $142K - $180K a year,unknown
Data Engineer,Vedainfo,"Peoria, IL 61602",Up to $60 an hour,contract
Senior Data Engineer,Takeda Pharmaceutical,"Hybrid remote in Boston, MA 02112","$102,200 - $146,000 a year",full-time
Data Engineer,Ryzen Solutions,"Foster City, CA",$80 - $92 an hour,contract
Data Engineer,Omnitech Consulting,"Plano, TX",$50 - $60 an hour,contract
Data Engineer,Dart Container,"Hybrid remote in Mason, MI",Estimated $95.2K - $121K a year,full-time
GCP Data Engineer,Reveille Technologies,"Dublin, OH","$84,240 - $190,833 a year",contract
Data Engineer,Wallero,"Seattle, WA 98101 (Downtown area)",$70 - $80 an hour,full-time
"SENIOR - Data Engineer - ONSITE Bethlehem, PA office OR NYC",chenoa inc,"Bethlehem, PA 18015",Estimated $116K - $147K a year,contract
Data Engineer IV,Pinnacle Technical Resources,"Fremont, CA 94555 (Northgate area)",$65 - $75 an hour,contract
"Data Engineer - Hybrid (Nashville, TN)",Vaco,"Nashville, TN","$115,000 - $125,000 a year",full-time
Data Engineer,Dart Container,"Hybrid remote in Mason, MI",Estimated $95.2K - $121K a year,full-time
GCP Data Engineer,Reveille Technologies,"Dublin, OH","$84,240 - $190,833 a year",contract
Data Engineer,Wallero,"Seattle, WA 98101 (Downtown area)",$70 - $80 an hour,full-time
"SENIOR - Data Engineer - ONSITE Bethlehem, PA office OR NYC",chenoa inc,"Bethlehem, PA 18015",Estimated $116K - $147K a year,contract
Data Engineer IV,Pinnacle Technical Resources,"Fremont, CA 94555 (Northgate area)",$65 - $75 an hour,contract
Data Engineer,Trinity Technologies,"West Pittsburg, PA 16160","$84,287 - $100,000 a year",part-time
"Data Engineer (Apache (NiFi/Kafka/SQL), Cloud Data Warehousing)",CBTS,"Cincinnati, OH 45227",$65 - $75 an hour,contract
AWS Data Engineer,Arthur Grand Technologies Inc,"Columbus, OH",Estimated $107K - $136K a year,contract
Azure Data Engineer,Visvak Solutions,Remote,$50 an hour,contract
Data Engineer - Azure,TAA Solutions LLC,"Hybrid remote in Washington, DC 20003",$55.60 - $120.00 an hour,full-time
Data Engineer,Mitra Chem,"Mountain View, CA","$136,000 - $155,000 a year",full-time
Data Engineer,ALM,"Erlanger, KY","$100,000 - $120,000 a year",full-time
Sports Data Engineer,Btechnical Group,"Frisco, TX","$150,000 - $175,000 a year",full-time
IT Data Integration Engineer/Architect,Arch Staffing & Consulting,"Hybrid remote in Palm Beach Gardens, FL 33418","$120,000 - $130,000 a year",full-time
Junior Data Engineer,HYR Global Source Inc,"Dallas, TX",Estimated $78.1K - $98.9K a year,contract
Senior Data Engineer - Remote,IPG Corporate,"Remote in Atlanta, GA 30301",Estimated $101K - $128K a year,unknown
Senior Data Engineer,PEMCO,"Seattle, WA 98109 (Westlake area)","$173,909 - $198,742 a year",full-time
"Engineer III, Data Engineering",Samsung Electronics,"Mountain View, CA","$218,608 - $238,608 a year",unknown
Data Engineer III - AWS,"JPMorgan Chase Bank, N.A.","Plano, TX","$97,850 - $150,000 a year",full-time
Big Data Engineer,HP,"Spring, TX 77389",Estimated $101K - $128K a year,full-time
Data Engineer,Regions,"Hoover, AL 35244",Estimated $111K - $140K a year,full-time
Sr. Data Engineer (Remote),Adventist Health,"Remote in Roseville, CA 95661","$94,083 - $141,125 a year",unknown
Senior Data Engineer,"University of California, Riverside","Riverside, CA 92521 (University area)","$93,400 - $177,200 a year",full-time
Senior Big Data Engineer,DIRECTV,"El Segundo, CA 90245","$169,520 - $211,255 a year",unknown
"Data Engineer, Sr",Spectrum Health,"Grand Rapids, MI 49503 (Heritage Hill area)",Estimated $112K - $141K a year,full-time
Data Engineers,Artha Solution,"Scottsdale, AZ 85260 (North Scottsdale area)",Estimated $63.1K - $79.9K a year,unknown
Model-e Data Engineer,Ford Motor Company,"Dearborn, MI",Estimated $92.2K - $117K a year,unknown
Data Hydration Engineer,Royal Bank of Canada,"Jersey City, NJ 07302 (Downtown area)","$130,000 a year",full-time
Senior Data Engineer,Aveva,"San Leandro, CA","$105,500 - $194,500 a year",full-time
Data Senior Engineer,City National Bank,"Los Angeles, CA","$101,231 - $172,355 a year",unknown
Sr Data Engineer,Citizens,"Johnston, RI 02919","$101,040 - $151,560 a year",full-time
NGS Data Quality Engineer,National Football League,"Remote in Inglewood, CA",Estimated $73.5K - $93K a year,part-time
"Data Engineer-Contract-Hybrid Role-Foster City, Ca",Nelson Interactive,"Foster City, CA",$75 - $80 an hour,contract
Data Engineer,Standard Biotools,"South San Francisco, CA","$126,277 - $148,200 a year",full-time
Data Engineer,MedWatchers,"San Diego, CA",Estimated $93.4K - $118K a year,full-time
Data Engineer,StoneX Group,"Chicago, IL 60604 (Loop area)",Estimated $110K - $139K a year,unknown
Sr. Data Analytics Engineer,Soothe,Remote,"$130,000 - $160,000 a year",unknown
Data Engineer,Cottingham & Butler,"Dubuque, IA",Estimated $84.1K - $107K a year,unknown
Data Engineer,SS&C,"Remote in San Francisco, CA","$141,000 - $153,000 a year",full-time
Data Engineer,Loudoun County Public Schools,"Hybrid remote in Loudoun County, VA","$74,325 - $128,195 a year",full-time
Data Engineer,Uline,"Pleasant Prairie, WI 53158",Estimated $96.6K - $122K a year,full-time
Data Engineer,Palni,"McKinney, TX 75070",Estimated $90.4K - $114K a year,full-time
Data Engineer,Smart Care Solutions,"Saint Paul, MN 55102 (Downtown area)",Estimated $102K - $129K a year,full-time
Data Engineer,Stake Center Locating,"Greensboro, NC 27409",Estimated $76.4K - $96.7K a year,unknown
Senior Data Engineer - Data Extraction and Warehousing,Cornerstone Information System,"Bloomington, IN 47404",Estimated $108K - $137K a year,unknown
Data Engineer,Palni,"McKinney, TX 75070",Estimated $90.4K - $114K a year,full-time
Senior Data Engineer - Data Extraction and Warehousing,Cornerstone Information System,"Bloomington, IN 47404",Estimated $108K - $137K a year,unknown
Data Engineer,Smart Care Solutions,"Saint Paul, MN 55102 (Downtown area)",Estimated $102K - $129K a year,full-time
Data Engineer,Stake Center Locating,"Greensboro, NC 27409",Estimated $76.4K - $96.7K a year,unknown
Data Engineer II,Amazon.com Services LLC,"Seattle, WA","From $105,700 a year",full-time
