job_title,company_name,company_address,estimated_salary_usd,work_hour,city,state,zipcode,work_type,latitude,longitude
Data Engineer III,Leaf Home,"Hudson, OH 44236", 86.3K - 109K a year,unknown,Hudson,OH,44236,On site,40.7381635,-74.0550731
Data Engineer,Uline,"Pleasant Prairie, WI 53158", 96.6K - 122K a year,full-time,Pleasant Prairie,WI,53158,On site,42.5269718,-87.8544568
Data Engineer,Market Resource Partners,"Remote in Philadelphia, PA 19103", 108K - 136K a year,full-time,Philadelphia,PA,19103,Remote,39.9527237,-75.1635262
Data Engineer,"CGI Group, Inc.","Charlotte, NC 28277 (Whiteoak area)", 109K - 138K a year,full-time,Charlotte,NC,28277,On site,35.2272086,-80.8430827
Cyber Security Data Integration Engineer/Developer (Secret Clearance),ALTA IT Services,"Dulles, VA", 142K - 180K a year,unknown,Dulles,VA,unknown,On site,29.456179,-98.663407
Data Engineer,Vedainfo,"Peoria, IL 61602",Up to 60 an hour,contract,Peoria,IL,61602,On site,40.6938609,-89.5891008
Senior Data Engineer,Takeda Pharmaceutical,"Hybrid remote in Boston, MA 02112","102,200 - 146,000 a year",full-time,Boston,MA,02112,Hybrid remote,42.3554334,-71.060511
Data Engineer,Ryzen Solutions,"Foster City, CA",80 - 92 an hour,contract,Foster City,CA,unknown,On site,37.5600336,-122.2688522
Data Engineer,Omnitech Consulting,"Plano, TX",50 - 60 an hour,contract,Plano,TX,unknown,On site,33.0136764,-96.6925096
Data Engineer,Dart Container,"Hybrid remote in Mason, MI", 95.2K - 121K a year,full-time,Mason,MI,unknown,Hybrid remote,30.705029,-99.2233284
GCP Data Engineer,Reveille Technologies,"Dublin, OH","84,240 - 190,833 a year",contract,Dublin,OH,unknown,On site,53.3493795,-6.2605593
Data Engineer,Wallero,"Seattle, WA 98101 (Downtown area)",70 - 80 an hour,full-time,Seattle,WA,98101,On site,47.6038321,-122.330062
"SENIOR - Data Engineer - ONSITE Bethlehem, PA office OR NYC",chenoa inc,"Bethlehem, PA 18015", 116K - 147K a year,contract,Bethlehem,PA,18015,On site,40.6178915,-75.3786521
Data Engineer IV,Pinnacle Technical Resources,"Fremont, CA 94555 (Northgate area)",65 - 75 an hour,contract,Fremont,CA,94555,On site,37.5482697,-121.988571
"Data Engineer - Hybrid (Nashville, TN)",Vaco,"Nashville, TN","115,000 - 125,000 a year",full-time,Nashville,TN,unknown,On site,36.1622767,-86.7742984
Data Engineer,Dart Container,"Hybrid remote in Mason, MI", 95.2K - 121K a year,full-time,Mason,MI,unknown,Hybrid remote,30.705029,-99.2233284
GCP Data Engineer,Reveille Technologies,"Dublin, OH","84,240 - 190,833 a year",contract,Dublin,OH,unknown,On site,53.3493795,-6.2605593
Data Engineer,Wallero,"Seattle, WA 98101 (Downtown area)",70 - 80 an hour,full-time,Seattle,WA,98101,On site,47.6038321,-122.330062
"SENIOR - Data Engineer - ONSITE Bethlehem, PA office OR NYC",chenoa inc,"Bethlehem, PA 18015", 116K - 147K a year,contract,Bethlehem,PA,18015,On site,40.6178915,-75.3786521
Data Engineer IV,Pinnacle Technical Resources,"Fremont, CA 94555 (Northgate area)",65 - 75 an hour,contract,Fremont,CA,94555,On site,37.5482697,-121.988571
Data Engineer,Trinity Technologies,"West Pittsburg, PA 16160","84,287 - 100,000 a year",part-time,West Pittsburg,PA,16160,On site,40.9328397,-80.3633981
"Data Engineer (Apache (NiFi/Kafka/SQL), Cloud Data Warehousing)",CBTS,"Cincinnati, OH 45227",65 - 75 an hour,contract,Cincinnati,OH,45227,On site,39.1014537,-84.5124602
AWS Data Engineer,Arthur Grand Technologies Inc,"Columbus, OH", 107K - 136K a year,contract,Columbus,OH,unknown,On site,39.9622601,-83.0007065
Azure Data Engineer,Visvak Solutions,Remote,50 an hour,contract,unknown,unknown,unknown,On site,unknown,unknown
Data Engineer - Azure,TAA Solutions LLC,"Hybrid remote in Washington, DC 20003",55.60 - 120.00 an hour,full-time,"Washington, DC",DC,20003,Hybrid remote,38.8950368,-77.0365427
Data Engineer,Mitra Chem,"Mountain View, CA","136,000 - 155,000 a year",full-time,Mountain View,CA,unknown,On site,37.3893889,-122.0832101
Data Engineer,ALM,"Erlanger, KY","100,000 - 120,000 a year",full-time,Erlanger,KY,unknown,On site,39.0167275,-84.6007773
Sports Data Engineer,Btechnical Group,"Frisco, TX","150,000 - 175,000 a year",full-time,Frisco,TX,unknown,On site,33.1505998,-96.8238183
IT Data Integration Engineer/Architect,Arch Staffing & Consulting,"Hybrid remote in Palm Beach Gardens, FL 33418","120,000 - 130,000 a year",full-time,Palm Beach Gardens,FL,33418,Hybrid remote,26.8233946,-80.1386547
Junior Data Engineer,HYR Global Source Inc,"Dallas, TX", 78.1K - 98.9K a year,contract,Dallas,TX,unknown,On site,32.7762719,-96.7968559
Senior Data Engineer - Remote,IPG Corporate,"Remote in Atlanta, GA 30301", 101K - 128K a year,unknown,Atlanta,GA,30301,Remote,33.7489924,-84.3902644
Senior Data Engineer,PEMCO,"Seattle, WA 98109 (Westlake area)","173,909 - 198,742 a year",full-time,Seattle,WA,98109,On site,47.6038321,-122.330062
"Engineer III, Data Engineering",Samsung Electronics,"Mountain View, CA","218,608 - 238,608 a year",unknown,Mountain View,CA,unknown,On site,37.3893889,-122.0832101
Data Engineer III - AWS,"JPMorgan Chase Bank, N.A.","Plano, TX","97,850 - 150,000 a year",full-time,Plano,TX,unknown,On site,33.0136764,-96.6925096
Big Data Engineer,HP,"Spring, TX 77389", 101K - 128K a year,full-time,Spring,TX,77389,On site,30.0798826,-95.4172549
Data Engineer,Regions,"Hoover, AL 35244", 111K - 140K a year,full-time,Hoover,AL,35244,On site,33.3864655,-86.78247922885197
Sr. Data Engineer (Remote),Adventist Health,"Remote in Roseville, CA 95661","94,083 - 141,125 a year",unknown,Roseville,CA,95661,Remote,38.7521235,-121.2880059
Senior Data Engineer,"University of California, Riverside","Riverside, CA 92521 (University area)","93,400 - 177,200 a year",full-time,Riverside,CA,92521,On site,33.9533546,-117.3961623
